Emotions,Path
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_C_A_abajo.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_C_A_adios.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_C_A_antes.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_C_A_arriba.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_C_A_ayer.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_C_A_basta_ya.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_C_A_delante.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_C_A_dentro.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_C_A_derecha.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_C_A_detras.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_C_A_de_nada.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_C_A_fuera.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_C_A_gracias.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_C_A_hola.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_C_A_izquierda.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_C_A_lento.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_C_A_no.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_C_A_nunca.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_C_A_por_favor.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_C_A_pronto.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_C_A_rapido.wav
Anger,C:\Users\HP\Desktop\Speech_emotion\dataset\Mexican Emotional Speech Database (MESD)/Anger_C_A_si.wav
